model,accuracy,precision,recall,f1,checkpoint
efficientnet,0.9968536969061353,0.9911054637865311,0.9786700125470514,0.9848484848484849,/home/jovyan/deep-learning/artifacts/efficientnet/best_model.pt
mobilenetv2,0.9954116413214473,0.9922480620155039,0.9636135508155583,0.9777211966900063,/home/jovyan/deep-learning/artifacts/mobilenetv2/best_model.pt
resnet18,0.9951494493969586,0.9960835509138382,0.9573400250941029,0.9763275751759437,/home/jovyan/deep-learning/artifacts/resnet18/best_model.pt
residual,0.988070267435763,0.9930167597765364,0.8920953575909661,0.9398545935228024,/home/jovyan/deep-learning/artifacts/residual/best_model.pt
attention,0.9694546407970634,0.9812286689419796,0.7214554579673776,0.8315256688358641,/home/jovyan/deep-learning/artifacts/attention/best_model.pt
improved,0.9676192973256423,0.9407051282051282,0.7365119196988708,0.8261787473610134,/home/jovyan/deep-learning/artifacts/improved/best_model.pt
bn,0.9663083377031988,0.9821428571428571,0.6900878293601004,0.810611643330877,/home/jovyan/deep-learning/artifacts/bn/best_model.pt
baseline,0.9535920293654956,0.920303605313093,0.6085319949811794,0.7326283987915407,/home/jovyan/deep-learning/artifacts/baseline/best_model.pt
large,0.9525432616675407,0.7935222672064778,0.7377666248431619,0.764629388816645,/home/jovyan/deep-learning/artifacts/large/best_model.pt
threeconv,0.9508390141583639,0.9137254901960784,0.5846925972396487,0.7130833970925784,/home/jovyan/deep-learning/artifacts/threeconv/best_model.pt
tiny,0.9478238070267436,0.9463087248322147,0.5307402760351317,0.680064308681672,/home/jovyan/deep-learning/artifacts/tiny/best_model.pt
small,0.9408757210277924,0.9481865284974094,0.4592220828105395,0.6187658495350803,/home/jovyan/deep-learning/artifacts/small/best_model.pt
